symbol	sample16_48hr_siNeg_1_S227	sample17_48hr_siNeg_2_S228	sample18_48hr_siNeg_3_S229	sample19_48hr_siFli1_1_S230	sample20_48hr_siFli1_2_S231	sample21_48hr_siFli1_3_S232
ENSG00000019505.7|SYT13	0	0	0	2	0	0
ENSG00000019549.10|SNAI2	16	18	13	547	687	676
ENSG00000019582.14|CD74	1	1	4	168	239	196
ENSG00000019991.16|HGF	3	2	7	93	97	111
ENSG00000019995.6|ZRANB1	1053.41	1213.41	971.58	1062.47	1257.71	1118.95
ENSG00000020129.15|NCDN	700	728	800	1010	1466	1220
ENSG00000020181.17|ADGRA2	4197	4603	4222.14	7084	10498	8511
ENSG00000020219.9|CCT8L1	1	0	0	1	0	1
ENSG00000020256.19|ZFP64	670	720	621	579	814	709
ENSG00000020426.10|MNAT1	467.96	499.84	405	221	312	270
ENSG00000020577.13|SAMD4A	274	383	292	1680	2320	1706
ENSG00000020633.18|RUNX3	542	628	534	442	641.98	539
ENSG00000020922.12|MRE11A	1059	1249	993	376	433	421
ENSG00000021300.13|PLEKHB1	42	43	36	41	88	59
ENSG00000021355.12|SERPINB1	0	3	1	1	4	3
ENSG00000021461.16|CYP3A43	0	1	0	1	0	0
ENSG00000021488.12|SLC7A9	2	5	1	10	14	20
ENSG00000021574.12|SPAST	637	715	556	311	365	320
ENSG00000021645.18|NRXN3	0	0	0	0	0	0
ENSG00000021762.19|OSBPL5	305	259	257	631	926	745
ENSG00000021776.10|AQR	2895	3128	2659	1953	2244	1941
ENSG00000021826.15|CPS1	532	649	535	751	910	720
